33654;RS545;ResistEmAll;BGR;4.99;1300;50.00;Blue Green Red
57585;ZX978;Piece de Resistance;AIW;2.99;1600;65.00;Red Green Blue
12083;IU478;Piece de Resistance;OSI;5.99;2000;50.00;Red Green Blue
08229;MP239;Piece de Resistance;YIP;9.00;2500;87.52;Blue Green Red
02002;GY840;ResistEmAll;BGR;2.44;1000;34.00;Green Blue Red
11771;CN333;Kens Resistors;EOR;5.99;2043;53.22;Red Blue Green
29762;SSS49;Kens Resistors;EOR;15.34;4944;282.34;Red Blue Green
20121;EG503;Kens Resistors;EOR;50.64;2000;100.00;Green Blue Red
17177;IE774;ResistEmAll;EOR;90.99;5000;160.34;Green Blue Red
44455;PY420;Kens Resistors;AIW;9.33;3000;83.22;Red Blue Green
